Symbol,Name,Weight (%)
NVDA,Nvidia,13.93
AAPL,Apple Inc.,12.03
MSFT,Microsoft,11.19
AMZN,Amazon Inc.,7.88
GOOGL,Alphabet Inc. (Class A),5.38
GOOG,Alphabet Inc. (Class C),5.03
AVGO,Broadcom Inc.,4.93
META,Meta Platforms Inc.,4.67
TSLA,Tesla Inc.,4.32
NFLX,Netflix Inc.,1.42
PLTR,Palantir Technologies,1.35
COST,Costco Wholesale,1.2
AMD,Advanced Micro Devices,1.19
ASML,ASML Holding,1.18
CSCO,Cisco Systems,0.84
AZN,AstraZeneca,0.82
MU,Micron Technology,0.8
TMUS,T-Mobile US,0.7
SHOP,Shopify,0.61
ISRG,Intuitive Surgical,0.6
APP,AppLovin Corp,0.6
LRCX,Lam Research,0.59
LIN,Linde plc,0.59
PEP,PepsiCo,0.59
PDD,PDD Holdings,0.58
QCOM,Qualcomm,0.55
INTU,Intuit,0.54
AMAT,Applied Materials,0.54
AMGN,Amgen,0.54
INTC,Intel,0.54
BKNG,Booking Holdings,0.48
ARM,Arm Holdings,0.47
KLAC,KLA Corporation,0.46
GILD,Gilead Sciences,0.45
PANW,Palo Alto Networks,0.44
TXN,Texas Instruments,0.43
CRWD,CrowdStrike,0.41
ADBE,Adobe Inc.,0.41
HON,Honeywell,0.38
ADI,Analog Devices,0.34
CEG,Constellation Energy,0.33
VRTX,Vertex Pharmaceuticals,0.32
MELI,MercadoLibre,0.32
ADP,ADP,0.31
CMCSA,Comcast,0.3
SBUX,Starbucks,0.29
CDNS,Cadence Design Systems,0.26
DASH,DoorDash,0.26
ORLY,O'Reilly Automotive,0.25
MAR,Marriott International,0.23
MRVL,Marvell Technology,0.23
CTAS,Cintas,0.22
ABNB,Airbnb,0.22
SNPS,Synopsys,0.22
MDLZ,Mondelez International,0.22
REGN,Regeneron Pharmaceuticals,0.21
MNST,Monster Beverage,0.21
DDOG,Datadog,0.2
MSTR,MicroStrategy Inc.,0.2
AEP,American Electric Power,0.19
CSX,CSX Corporation,0.19
ADSK,Autodesk,0.19
FTNT,Fortinet,0.19
PYPL,PayPal,0.19
TRI,Thomson Reuters,0.18
WDAY,Workday Inc.,0.18
IDXX,Idexx Laboratories,0.17
WBD,Warner Bros. Discovery,0.17
ROST,Ross Stores,0.16
ZS,Zscaler,0.15
PCAR,Paccar,0.15
NXPI,NXP Semiconductors,0.15
EA,Electronic Arts,0.15
BKR,Baker Hughes,0.14
XEL,Xcel Energy,0.14
ROP,Roper Technologies,0.14
FAST,Fastenal,0.14
EXC,Exelon,0.14
AXON,Axon Enterprise Inc.,0.13
TTWO,Take-Two Interactive,0.13
FANG,Diamondback Energy,0.13
CCEP,Coca-Cola Europacific Partners,0.13
TEAM,Atlassian,0.12
PAYX,Paychex,0.12
CPRT,Copart,0.12
KDP,Keurig Dr Pepper,0.11
CTSH,Cognizant,0.1
GEHC,GE HealthCare,0.1
VRSK,Verisk,0.09
MCHP,Microchip Technology,0.09
ODFL,Old Dominion Freight Line,0.09
CSGP,CoStar Group,0.09
KHC,Kraft Heinz,0.09
CHTR,Charter Communications,0.08
BIIB,Biogen,0.07
DXCM,DexCom,0.07
TTD,The Trade Desk,0.06
LULU,Lululemon Athletica,0.06
ON,Onsemi,0.06
GFS,GlobalFoundries,0.06
CDW,CDW Corporation,0.06
